"id","kanji_id","created_at","updated_at","level"
"251","1578","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"252","85","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"253","453","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"254","1700","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"255","519","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"256","2807","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"257","211","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"258","2713","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"259","2870","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"260","844","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"261","774","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"262","775","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"263","548","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"264","1052","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"265","2622","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"266","528","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"267","2733","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"268","1646","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"269","2287","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"270","1221","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"271","1261","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"272","1200","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"273","1213","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"274","1308","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"275","845","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"276","789","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"277","635","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"278","575","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"279","1320","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"280","224","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"281","1762","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"282","1077","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"283","100","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"284","916","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"285","1076","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"286","320","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"287","917","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"288","510","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"289","2085","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"290","2662","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"291","847","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"292","2815","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"293","2013","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"294","846","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"295","673","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"296","631","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"297","2317","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"298","438","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"299","529","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"300","1475","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"301","1952","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"302","818","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"303","926","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"304","1222","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"305","2635","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"306","790","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"307","2663","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"308","2948","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
