"id","level","kanji_id","created_at","updated_at"
"76","1","1493","2010-02-17 12:32:39","2010-02-17 12:32:39"
"77","1","836","2010-02-17 12:32:39","2010-02-17 12:32:39"
"78","1","718","2010-02-17 12:32:39","2010-02-17 12:32:39"
"79","1","838","2010-02-17 12:32:39","2010-02-17 12:32:39"
"80","1","1403","2010-02-17 12:32:39","2010-02-17 12:32:39"
"81","1","1516","2010-02-17 12:32:39","2010-02-17 12:32:39"
"82","1","1531","2010-02-17 12:32:39","2010-02-17 12:32:39"
"83","1","1549","2010-02-17 12:32:39","2010-02-17 12:32:39"
"84","1","1561","2010-02-17 12:32:39","2010-02-17 12:32:39"
"85","1","1579","2010-02-17 12:32:39","2010-02-17 12:32:39"
"86","1","1595","2010-02-17 12:32:39","2010-02-17 12:32:39"
"87","1","1611","2010-02-17 12:32:39","2010-02-17 12:32:39"
"88","1","1624","2010-02-17 12:32:39","2010-02-17 12:32:39"
"89","1","1644","2010-02-17 12:32:39","2010-02-17 12:32:39"
"90","1","1656","2010-02-17 12:32:39","2010-02-17 12:32:39"
"91","1","1676","2010-02-17 12:32:39","2010-02-17 12:32:39"
"92","1","1688","2010-02-17 12:32:39","2010-02-17 12:32:39"
"93","1","2821","2010-02-17 12:32:39","2010-02-17 12:32:39"
"94","1","2352","2010-02-17 12:32:39","2010-02-17 12:32:39"
"95","1","2917","2010-02-17 12:32:39","2010-02-17 12:32:39"
"96","1","2730","2010-02-17 12:32:39","2010-02-17 12:32:39"
"97","1","2261","2010-02-17 12:32:39","2010-02-17 12:32:39"
"98","1","1771","2010-02-17 12:32:39","2010-02-17 12:32:39"
"99","1","1786","2010-02-17 12:32:39","2010-02-17 12:32:39"
"100","1","2930","2010-02-17 12:32:39","2010-02-17 12:32:39"
"101","1","2555","2010-02-17 12:32:39","2010-02-17 12:32:39"
"102","1","2838","2010-02-17 12:32:39","2010-02-17 12:32:39"
"103","1","2557","2010-02-17 12:32:39","2010-02-17 12:32:39"
"104","1","1827","2010-02-17 12:32:39","2010-02-17 12:32:39"
"105","1","2559","2010-02-17 12:32:39","2010-02-17 12:32:39"
"106","1","1865","2010-02-17 12:32:39","2010-02-17 12:32:39"
"107","1","2373","2010-02-17 12:32:39","2010-02-17 12:32:39"
"108","1","2476","2010-02-17 12:32:39","2010-02-17 12:32:39"
"109","1","2947","2010-02-17 12:32:39","2010-02-17 12:32:39"
"110","1","1890","2010-02-17 12:32:39","2010-02-17 12:32:39"
"111","1","1911","2010-02-17 12:32:39","2010-02-17 12:32:39"
"112","1","2856","2010-02-17 12:32:39","2010-02-17 12:32:39"
"113","1","1941","2010-02-17 12:32:39","2010-02-17 12:32:39"
"114","1","2858","2010-02-17 12:32:39","2010-02-17 12:32:39"
"115","1","2859","2010-02-17 12:32:39","2010-02-17 12:32:39"
"116","1","2398","2010-02-17 12:32:39","2010-02-17 12:32:39"
"117","1","2681","2010-02-17 12:32:39","2010-02-17 12:32:39"
"118","1","2306","2010-02-17 12:32:39","2010-02-17 12:32:39"
"119","1","2589","2010-02-17 12:32:39","2010-02-17 12:32:39"
